diploma,internexp,age,gender,recommend_num,Beautylevel,family_reserve
0,0,0.0,0,30.341559247635782,1,0.5003957706062553
1,1,1.0,0,66.10958125112239,1,0.5976103129580886
0,1,1.0,0,19.93977373093718,0,0.44643732914167744
1,1,1.0,0,35.594593901999346,1,0.5027140280252558
1,1,1.0,0,14.441971057994007,1,0.3835529739691913
0,0,0.0,0,53.17911188801035,1,0.596142258722137
1,0,0.0,0,69.96513223944811,1,0.7045079178166552
1,0,0.0,0,24.515624395474735,1,0.48342750658415334
0,1,1.0,1,9.376452607082925,0,0.36224465270614825
0,0,0.0,1,7.7476821538345,1,0.2573417213100192
1,0,0.0,1,17.794843487547045,0,0.31985589944721454
0,1,1.0,1,27.585840094529644,0,0.4584561851554461
1,0,0.0,0,5.4060364280338895,1,0.20847168045932388
1,1,1.0,0,32.29025940679083,0,0.5353505685121287
1,0,0.0,1,130.99571190701857,1,0.8144752997600577
1,0,0.0,1,0.533904510227238,0,0.0019565354358729577
1,1,1.0,1,10.335347352368808,0,0.22424614640597573
0,1,1.0,1,91.70597115875566,1,0.8004446811424992
1,1,1.0,1,63.99663627566489,0,0.6917941549297786
1,0,0.0,0,36.88925483848216,1,0.62863670244355
0,1,1.0,1,43.73525878723855,1,0.6193894491265833
1,1,1.0,0,1.4686619460953119,1,0.17982572942562974
1,1,1.0,0,33.28265125156487,0,0.5037401857740436
1,0,0.0,0,66.95243225217479,1,0.7723026086117
1,1,1.0,0,31.06565577462384,0,0.5473481055228677
1,1,1.0,1,4.707194218916423,0,0.2712737353022992
0,1,1.0,1,17.859110797901092,1,0.24348029533023977
0,0,0.0,0,76.06252918064702,1,0.7709635690971979
0,1,1.0,0,74.29024415876303,1,0.6878246661659717
1,1,1.0,0,11.891471665113409,1,0.2532160032495218
1,1,1.0,1,32.095691369503754,0,0.3794092919721273
1,1,1.0,1,12.752717986946106,0,0.30431566145758715
0,1,1.0,0,43.347926881803524,0,0.5956233016615695
0,1,1.0,1,25.330764560016043,1,0.4723615733188735
0,0,0.0,0,8.90829976960393,1,0.14668711046890426
0,1,1.0,1,0.6147733633768713,1,0.020974840159071667
1,0,0.0,0,34.333814990737956,1,0.48875599211651205
0,0,0.0,0,2.538094943023204,1,0.10087116605602396
0,1,1.0,0,38.36598128777024,0,0.604486838908165
0,0,0.0,1,4.2227896143948565,0,0.20920609096082368
0,1,1.0,1,13.072467798855891,1,0.2982906745624454
1,1,1.0,1,42.117034755601246,1,0.604789094432547
0,0,0.0,0,28.127123408203612,0,0.5483895014969445
1,0,0.0,1,4.489567443932599,1,0.1420612436712168
1,1,1.0,0,8.574771336737335,0,0.31163261693119887
0,1,1.0,1,74.5069099249163,0,0.7637298781690283
1,1,1.0,0,18.02957372601324,0,0.365586827327898
0,0,0.0,1,21.51418676642302,1,0.4164000483341058
1,1,1.0,1,5.345351932820425,1,0.05434860528945374
1,1,1.0,1,27.40137882608061,1,0.5639649824303533
0,0,0.0,0,44.72496332820729,1,0.6893422637690483
1,0,0.0,0,126.5682468240929,1,0.7630329731605889
1,0,0.0,1,4.503404053485654,1,0.08404313642502274
1,1,1.0,0,29.686768891719115,0,0.45098835253398945
1,1,1.0,0,0.622205110264763,0,0.0008007056668163031
1,1,1.0,0,19.390055717014736,1,0.37701014264353533
1,0,0.0,0,6.627653172214463,0,0.20173825089415479
0,1,1.0,0,7.213291109110809,0,0.2559844400171003
0,0,0.0,0,1.2058170448243146,1,0.005110642683514953
1,1,1.0,0,30.900605232718018,1,0.4756515659856589
0,0,0.0,1,71.19534022457961,1,0.6706647380927115
1,0,0.0,1,5.585744697486368,1,0.3287956031971592
0,0,0.0,0,30.111729899918767,0,0.376752787893246
